Date Time,Doc No,Item Code,Item Brand,Item Description,Qty,Unit Price,Gross Total,Discount Amt,Sub Total,Sub Total (ex)
20/11/2025 14:12:18,T01-096789,"TAPPING SCREW 7x3/4""",CHINA STOCK,"7# X 3/4"" TAPPING SCREW",1,2,2,0,2,2
20/11/2025 14:12:18,T01-096789,SSUTC1,,"1"" S/STEEL U PIPE CLIP",5,1.1,5.5,0,5.5,5.5
20/11/2025 14:12:46,T01-096790,#14 LAMP HOOK,,#14 LAMP HOOK,1,3.5,3.5,0,3.5,3.5
20/11/2025 14:12:46,T01-096790,F4011 IFAN 105CM PVC FLEXIBLE HOSE,CHINA STOCK,"42"" IFAN PVC FLEX/HOSE",1,16.5,16.5,0,16.5,16.5
20/11/2025 14:19:50,T01-096791,3M/VT5/COLLOUR/2503008018,,PVC WIRE TAPE(COLOUR),3,1,3,0,3,3
20/11/2025 14:19:50,T01-096791,JCTOP 3X140MM VOLTAGE TEST PEN 19881,CHINA STOCK,140MM TEST PEN 19881,1,4.5,4.5,0,4.5,4.5
20/11/2025 14:23:29,T01-096792,"MACROLAR DIAMOND CUTTING DISC 4""",CHINA STOCK,"MACROLAR CUTTING DISC 4""",-1,15.9,-15.9,0,-15.9,-15.9
20/11/2025 14:23:29,T01-096792,"MACROLAR 4"" CUTTING DISC-GOLD",CHINA STOCK,"MACROLAR 4"" CUTTING DISC-GOLD",1,15.9,15.9,0,15.9,15.9
20/11/2025 14:23:29,T01-096792,"TAPPING SCREW 7x3""",CHINA STOCK,"7# X 3"" TAPPING SCREW",1,3.5,3.5,0,3.5,3.5
20/11/2025 14:28:34,T01-096793,GIW-CN-20G1.6,,20G G.I WIRE,1,5,5,0,5,5
20/11/2025 14:31:52,T01-096794,2503003020,,3 X 3 PVC BLK BOX (EAR),20,0.9,18,0,18,18
20/11/2025 14:31:52,T01-096794,BOSUN 105 SILVER DIAMOND CUTTING DISC,BOSUN,BOSUN 105 SIL DIAMOND CUTTING DISC,1,28.5,28.5,0,28.5,28.5
20/11/2025 14:31:52,T01-096794,STMT60806-8,,STANLEY PH1X150MM S/DRIVER,1,10.5,10.5,0,10.5,10.5
